hour,user_3,user_4,user_5,user_6
2013-01-06 02,22.759602,3.475239,99.5935,51.219513
2013-01-06 03,22.403982,3.475239,93.49593,51.52439
2013-01-06 04,22.226173,3.475239,85.873985,54.878048
2013-01-06 05,22.581793,1.4618297,104.6163,52.43903
2013-01-06 06,22.581793,3.475239,79.268295,43.853657
2013-01-06 07,22.93741,3.475239,101.11789,43.327488
2013-01-06 08,24.359886,3.909644,100.10162,45.121952
2013-01-06 09,28.627312,3.909644,106.70731,43.235615
2013-01-06 10,32.498848,4.3440485,124.49187,51.219513
2013-01-06 11,37.339973,4.3440485,107.33371,43.506886
2013-01-06 12,38.762447,4.3440485,147.35773,67.37805
2013-01-06 13,38.05121,4.3440485,103.65854,57.621952
2013-01-06 14,33.25035,4.3440485,101.626015,43.908443
2013-01-06 15,32.40855,4.3440485,105.30537,43.998722
2013-01-06 16,27.382647,4.3440485,108.73984,59.756096
2013-01-06 17,27.382647,4.3440485,125.50814,69.81707
2013-01-06 18,28.093884,1.4851545,152.94716,78.35366
2013-01-06 19,29.871977,4.561251,176.82927,74.39024
2013-01-06 20,30.405403,4.7784534,108.956955,85.060974
2013-01-06 21,28.093884,4.561251,172.2561,79.57317
2013-01-06 22,25.96017,3.6924415,164.63414,45.104744
2013-01-06 23,24.359886,3.475239,106.732605,68.902435
2013-01-07 00,32.74041,3.475239,105.32447,59.756096
2013-01-07 01,23.29303,3.475239,92.98781,52.743904
2013-01-07 02,32.403805,3.475239,82.8252,48.17073
2013-01-07 03,22.048365,3.475239,105.05394,55.487804
2013-01-07 04,22.403982,3.475239,76.727646,48.780487
2013-01-07 05,22.403982,3.475239,104.8452,47.256096
2013-01-07 06,24.004267,3.475239,105.01744,51.52439
2013-01-07 07,32.4332,3.475239,105.99734,55.182926
2013-01-07 08,34.495018,3.475239,91.97154,50.30488
2013-01-07 09,32.289608,1.5185158,76.727646,50.914635
2013-01-07 10,30.049788,2.8236315,84.349594,57.621952
2013-01-07 11,29.694168,3.475239,105.75861,63.414635
2013-01-07 12,32.340824,3.6924415,100.60976,60.365852
2013-01-07 13,29.16074,1.4888736,103.01456,43.417274
2013-01-07 14,28.627312,3.475239,83.333336,53.963413
2013-01-07 15,27.560455,3.6924415,85.36585,43.43349
2013-01-07 16,26.849218,1.5425508,96.03658,61.585365
2013-01-07 17,26.849218,1.5100883,117.88618,63.109756
2013-01-07 18,27.916075,3.6924415,154.47154,44.081524
2013-01-07 19,31.65007,4.1268463,112.236176,102.743904
2013-01-07 20,32.721375,6.2988706,214.4309,102.439026
2013-01-07 21,30.227596,1.4870347,191.05692,93.90243
2013-01-07 22,26.849218,3.6924415,105.72584,43.95322
2013-01-07 23,24.715506,3.475239,149.39024,82.62194
2013-01-08 00,32.54884,3.475239,108.231705,63.719513
2013-01-08 01,32.438137,3.475239,84.349594,53.353657
2013-01-08 02,22.226173,3.475239,81.808945,52.743904
2013-01-08 03,21.692745,3.475239,81.808945,43.553493
2013-01-08 04,22.403982,3.475239,69.61382,42.861145
2013-01-08 05,22.403982,3.475239,105.50296,50.30488
2013-01-08 06,23.64865,3.475239,76.21951,55.487804
2013-01-08 07,32.36131,3.475239,98.57723,42.87079
2013-01-08 08,33.428165,3.475239,93.49593,48.47561
2013-01-08 09,30.405403,3.475239,105.2405,47.560974
2013-01-08 10,32.275578,1.5358723,80.28455,53.048782
2013-01-08 11,30.405403,3.475239,77.743904,43.27058
2013-01-08 12,29.871977,3.909644,90.44715,43.16855
2013-01-08 13,29.694168,4.1268463,83.333336,55.487804
2013-01-08 14,28.627312,4.3440485,69.61382,53.353657
2013-01-08 15,26.13798,3.909644,80.28455,55.487804
2013-01-08 16,25.96017,4.3440485,97.560974,62.5
2013-01-08 17,25.604551,4.3440485,106.88824,62.5
2013-01-08 18,27.560455,4.1268463,177.3374,90.85366
2013-01-08 19,30.583216,1.4688264,216.97154,87.80488
2013-01-08 20,33.428165,4.561251,215.44716,86.89024
2013-01-08 21,30.049788,1.4911546,205.28455,90.54878
2013-01-08 22,26.493599,3.475239,178.86179,80.48781
2013-01-08 23,32.631218,3.475239,135.1626,75.0
2013-01-09 00,23.470839,3.475239,102.13415,63.719513
2013-01-09 01,22.759602,1.5006249,89.939026,43.44142
2013-01-09 02,22.226173,3.475239,82.31707,43.016224
2013-01-09 03,21.870554,1.5097923,80.28455,54.57317
2013-01-09 04,32.33294,3.475239,104.350716,50.609756
2013-01-09 05,22.403982,3.475239,73.67886,51.82927
2013-01-09 06,23.826458,3.475239,75.71138,57.92683
2013-01-09 07,33.605976,3.475239,102.64227,60.67073
2013-01-09 08,33.25035,3.6924415,106.10314,55.182926
2013-01-09 09,29.338549,4.3440485,91.46342,44.207317
2013-01-09 10,28.627312,1.5191587,82.31707,48.17073
2013-01-09 11,32.59535,4.3440485,78.25203,43.8349
2013-01-09 12,32.359886,4.3440485,93.49593,47.865852
2013-01-09 13,28.271692,4.3440485,87.39838,43.292683
2013-01-09 14,32.648514,4.1268463,85.36585,45.121952
2013-01-09 15,32.340797,4.3440485,105.18293,51.219513
2013-01-09 16,25.426743,4.3440485,102.13415,56.707317
2013-01-09 17,26.493599,1.5437282,119.41057,71.95122
2013-01-09 18,28.271692,4.3440485,185.97562,85.36585
2013-01-09 19,30.583216,1.5006837,215.44716,85.67073
2013-01-09 20,32.894737,1.5086304,220.02032,87.5
2013-01-09 21,32.329388,1.4820687,201.72765,80.18293
2013-01-09 22,27.204836,1.512837,177.84554,79.268295
2013-01-09 23,18.847794,3.475239,136.17886,73.78049
2013-01-10 00,5.156472,1.4817017,102.327415,63.719513
2013-01-10 01,4.978663,3.475239,97.560974,55.182926
2013-01-10 02,32.366234,3.475239,87.9065,42.996956
2013-01-10 03,3.3783784,3.475239,85.873985,50.914635
2013-01-10 04,3.5561879,3.475239,102.10112,52.743904
2013-01-10 05,3.733997,3.475239,75.71138,52.743904
2013-01-10 06,5.156472,3.475239,81.30081,43.479904
2013-01-10 07,13.869132,2.8236315,110.772354,43.542416
2013-01-10 08,14.224751,2.606429,102.64227,52.134148
2013-01-10 09,10.135135,2.606429,92.98781,46.341465
2013-01-10 10,32.270226,2.606429,76.21951,48.47561
2013-01-10 11,8.89047,3.6924415,70.12195,42.894703
2013-01-10 12,32.209507,1.4882299,105.07172,43.559723
2013-01-10 13,9.957326,3.475239,78.76016,51.82927
2013-01-10 14,9.779516,1.4735123,70.63008,45.42683
2013-01-10 15,8.71266,3.475239,90.955284,43.753014
2013-01-10 16,7.823613,3.475239,92.479675,52.43903
2013-01-10 17,7.6458044,3.475239,105.691055,59.146343
2013-01-10 18,32.527267,3.475239,107.27651,75.60976
2013-01-10 19,12.268847,1.4991385,178.35365,84.45122
2013-01-10 20,14.046942,5.8644657,203.25203,45.421875
2013-01-10 21,32.42715,4.3440485,186.99187,77.743904
2013-01-10 22,8.357041,4.3440485,103.490486,44.44806
2013-01-10 23,6.2233286,3.475239,152.94716,77.13415
2013-01-11 00,4.623044,3.475239,106.70731,57.621952
2013-01-11 01,32.407646,3.475239,105.69121,45.42683
2013-01-11 02,3.733997,3.475239,89.43089,48.47561
2013-01-11 03,3.200569,1.4870582,86.38211,50.30488
2013-01-11 04,3.3783784,3.475239,70.63008,50.30488
2013-01-11 05,32.329247,1.5262706,69.10569,48.780487
2013-01-11 06,5.3342814,1.4667476,74.18699,49.695118
2013-01-11 07,15.113798,3.475239,92.479675,60.97561
2013-01-11 08,15.825035,3.475239,103.929726,54.57317
2013-01-11 09,12.446657,3.909644,104.998024,50.609756
2013-01-11 10,13.869132,4.1268463,71.138214,46.646343
2013-01-11 11,11.379801,3.475239,103.95162,39.32927
2013-01-11 12,29.16074,4.3440485,97.05285,39.32927
2013-01-11 13,28.627312,1.4990778,91.97154,42.378048
2013-01-11 14,27.382647,1.500788,82.31707,43.292683
2013-01-11 15,32.5658,4.3440485,106.00649,42.987804
2013-01-11 16,27.560455,4.3440485,104.637924,41.15854
2013-01-11 17,27.738264,4.3440485,105.691055,49.085365
2013-01-11 18,28.449503,1.5058585,170.7317,67.98781
2013-01-11 19,28.449503,5.647263,215.44716,72.256096
2013-01-11 20,30.583216,5.212858,212.90651,77.439026
2013-01-11 21,27.916075,5.212858,175.30487,71.95122
2013-01-11 22,32.32271,4.561251,145.32521,74.69512
2013-01-11 23,24.715506,3.475239,127.032524,72.86585
2013-01-12 00,32.262352,3.475239,95.020325,59.451218
2013-01-12 01,32.314148,3.475239,80.79269,53.048782
2013-01-12 02,22.759602,1.5174646,75.203255,50.914635
2013-01-12 03,21.692745,3.475239,104.79455,46.341465
2013-01-12 04,22.048365,1.4859257,103.01229,45.121952
2013-01-12 05,22.581793,3.475239,59.451218,49.085365
2013-01-12 06,22.93741,1.4686431,102.39788,43.678963
2013-01-12 07,32.76218,3.475239,90.44715,41.15854
2013-01-12 08,26.671408,3.475239,105.18293,39.32927
2013-01-12 09,30.405403,4.561251,111.28049,46.646343
2013-01-12 10,35.73969,1.4769801,105.13273,47.256096
2013-01-12 11,34.672832,3.475239,140.2439,44.371307
2013-01-12 12,36.806545,3.475239,152.94716,53.658535
2013-01-12 13,32.815983,3.6924415,147.86586,54.878048
2013-01-12 14,34.139404,1.4924014,105.803246,58.841465
2013-01-12 15,30.405403,3.909644,153.45529,44.624386
2013-01-12 16,28.449503,4.995656,107.592125,57.317074
2013-01-12 17,27.738264,4.3440485,147.35773,64.32927
2013-01-12 18,28.271692,1.5385315,108.61518,86.28049
2013-01-12 19,28.271692,5.430061,110.05125,87.19512
2013-01-12 20,28.271692,4.995656,210.87398,88.10975
2013-01-12 21,26.671408,4.561251,105.84784,44.179817
2013-01-12 22,25.071123,3.909644,143.29268,44.70243
2013-01-12 23,24.537695,1.4870645,142.78455,43.64029
2013-01-13 00,23.470839,3.475239,122.45935,61.585365
2013-01-13 01,23.115221,3.475239,92.479675,58.536587
2013-01-13 02,22.759602,3.475239,105.719635,53.963413
2013-01-13 03,22.048365,1.4993007,103.59722,52.743904
2013-01-13 04,32.67992,3.475239,74.69512,52.43903
2013-01-13 05,22.403982,3.475239,67.5813,50.30488
2013-01-13 06,22.759602,3.475239,70.63008,52.743904
2013-01-13 07,22.93741,3.475239,77.743904,52.743904
2013-01-13 08,24.537695,1.5014175,87.39838,42.748665
2013-01-13 09,27.916075,3.6924415,103.65854,47.865852
2013-01-13 10,32.501564,1.492625,104.12395,58.536587
2013-01-13 11,36.095306,4.3440485,155.99594,63.109756
2013-01-13 12,38.406826,4.3440485,107.385025,53.353657
2013-01-13 13,38.05121,4.3440485,111.28049,59.756096
2013-01-13 14,34.31721,4.3440485,107.72358,43.674133
2013-01-13 15,29.51636,4.3440485,115.85366,50.30488
2013-01-13 16,27.382647,4.3440485,120.42683,43.59756
2013-01-13 17,26.849218,4.3440485,106.35098,48.17073
2013-01-13 18,28.982931,1.4889634,154.97968,70.12195
2013-01-13 19,32.508163,4.3440485,190.54878,76.5244
2013-01-13 20,30.049788,4.3440485,205.28455,79.57317
2013-01-13 21,27.916075,4.3440485,193.59756,70.12195
2013-01-13 22,32.37154,4.1268463,175.813,70.12195
2013-01-13 23,24.359886,3.475239,151.42276,63.414635
2013-01-14 00,32.614784,1.500239,108.73984,60.060974
2013-01-14 01,23.29303,3.475239,84.349594,43.125565
2013-01-14 02,22.403982,1.514732,82.8252,43.599293
2013-01-14 03,21.692745,3.475239,77.743904,43.319546
2013-01-14 04,22.048365,1.5407178,70.12195,42.728477
2013-01-14 05,22.581793,3.475239,104.035034,48.17073
2013-01-14 06,23.64865,3.475239,71.138214,53.963413
2013-01-14 07,33.428165,3.040834,106.34784,53.353657
2013-01-14 08,33.605976,2.8236315,108.231705,50.914635
2013-01-14 09,32.233074,1.4810334,84.85773,42.987804
2013-01-14 10,32.716927,3.909644,83.84146,46.951214
2013-01-14 11,31.65007,3.475239,76.727646,50.0
2013-01-14 12,29.338549,3.6924415,79.268295,56.40244
2013-01-14 13,28.982931,4.3440485,63.00813,51.52439
2013-01-14 14,32.60358,1.5855012,59.451218,51.52439
2013-01-14 15,27.027027,1.530482,73.67886,43.347664
2013-01-14 16,26.493599,4.3440485,74.69512,57.012196
2013-01-14 17,26.493599,4.3440485,86.38211,43.73828
2013-01-14 18,27.916075,4.561251,157.52032,81.70731
2013-01-14 19,30.938831,1.4789804,209.85773,84.756096
2013-01-14 20,32.53912,4.7784534,230.69106,100.0
2013-01-14 21,29.51636,1.4745157,104.30016,44.081665
2013-01-14 22,26.31579,3.6924415,109.36488,85.36585
2013-01-14 23,24.537695,1.4984782,135.67073,71.95122
2013-01-15 00,32.726837,3.475239,108.73984,57.92683
2013-01-15 01,22.759602,3.475239,90.955284,43.58189
2013-01-15 02,22.759602,3.475239,104.60317,45.42683
2013-01-15 03,22.226173,3.475239,70.12195,45.73171
2013-01-15 04,22.581793,3.475239,66.56504,50.609756
2013-01-15 05,22.93741,3.475239,71.64634,45.73171
2013-01-15 06,24.004267,3.475239,67.5813,43.32692
2013-01-15 07,33.78378,1.5069739,105.21586,55.792683
2013-01-15 08,34.31721,1.5061198,86.38211,41.76829
2013-01-15 09,29.338549,3.475239,77.23577,42.77897
2013-01-15 10,32.631012,2.8236315,75.71138,52.743904
2013-01-15 11,32.38891,2.606429,104.1263,43.753124
2013-01-15 12,28.449503,2.606429,105.51879,58.536587
2013-01-15 13,28.449503,1.5320507,75.71138,57.317074
2013-01-15 14,27.738264,3.6924415,106.989716,57.621952
2013-01-15 15,25.782362,4.1268463,106.642586,58.23171
2013-01-15 16,32.796783,4.7784534,104.444176,44.02232
2013-01-15 17,32.491795,1.5169349,115.85366,65.243904
2013-01-15 18,27.738264,4.561251,105.15447,43.786564
2013-01-15 19,30.405403,4.561251,232.72357,89.63415
2013-01-15 20,32.1835,4.561251,228.1504,103.04878
2013-01-15 21,29.694168,4.7784534,110.37495,98.78049
2013-01-15 22,26.31579,4.1268463,175.30487,44.372944
2013-01-15 23,24.182077,3.475239,104.82193,44.298862
2013-01-16 00,22.93741,3.2580364,117.37805,61.280487
2013-01-16 01,22.226173,3.475239,105.80338,60.060974
2013-01-16 02,21.870554,3.475239,106.18162,56.09756
2013-01-16 03,32.57886,1.5171145,78.25203,58.841465
2013-01-16 04,21.514936,3.475239,104.7579,52.43903
2013-01-16 05,22.226173,3.475239,70.12195,54.26829
2013-01-16 06,23.470839,3.6924415,72.15447,58.23171
2013-01-16 07,33.25035,4.3440485,107.96674,58.841465
2013-01-16 08,32.894737,3.475239,98.57723,52.743904
2013-01-16 09,29.338549,1.4986293,94.51219,48.47561
2013-01-16 10,28.271692,4.561251,82.8252,50.0
2013-01-16 11,27.382647,4.561251,106.82064,55.182926
2013-01-16 12,32.248947,4.561251,83.84146,42.90992
2013-01-16 13,27.204836,4.561251,79.268295,50.609756
2013-01-16 14,32.37688,4.3440485,69.10569,49.085365
2013-01-16 15,25.604551,1.5103511,79.77642,53.658535
2013-01-16 16,32.68955,4.561251,84.349594,46.341465
2013-01-16 17,25.782362,4.3440485,100.60976,62.80488
2013-01-16 18,27.560455,4.3440485,108.0686,86.89024
2013-01-16 19,29.694168,1.4519361,223.57724,83.84146
2013-01-16 20,30.049788,4.3440485,108.63304,84.14634
2013-01-16 21,28.449503,4.3440485,192.5813,76.21951
2013-01-16 22,25.604551,4.3440485,182.92683,75.60976
2013-01-16 23,23.826458,4.561251,131.6057,74.69512
2013-01-17 00,22.93741,3.475239,106.59772,71.34146
2013-01-17 01,32.689743,3.040834,96.03658,56.40244
2013-01-17 02,22.226173,3.475239,83.333336,50.609756
2013-01-17 03,21.692745,3.040834,81.30081,53.658535
2013-01-17 04,21.514936,3.2580364,69.10569,46.951214
2013-01-17 05,32.29491,3.2580364,66.05691,42.975372
2013-01-17 06,32.597626,3.2580364,104.86711,43.407425
2013-01-17 07,32.53912,3.2580364,92.479675,56.40244
2013-01-17 08,34.495018,3.909644,92.98781,45.73171
2013-01-17 09,28.627312,1.4871271,81.808945,41.15854
2013-01-17 10,27.916075,1.4813039,103.15455,43.168125
2013-01-17 11,32.547596,4.1268463,76.727646,48.17073
2013-01-17 12,27.027027,1.5264995,80.28455,55.792683
2013-01-17 13,27.916075,2.8236315,91.97154,53.658535
2013-01-17 14,32.65668,3.6924415,106.20412,51.52439
2013-01-17 15,25.426743,4.1268463,105.57355,57.317074
2013-01-17 16,32.63085,3.909644,114.32927,44.25558
2013-01-17 17,25.782362,4.3440485,107.829384,71.34146
2013-01-17 18,28.982931,4.3440485,180.38618,84.756096
2013-01-17 19,29.871977,4.561251,110.62226,93.29269
2013-01-17 20,32.005688,5.647263,110.42202,101.82927
2013-01-17 21,28.982931,5.647263,110.18279,89.02439
2013-01-17 22,25.604551,4.3440485,176.82927,89.02439
2013-01-17 23,24.359886,3.6924415,135.67073,44.516586
2013-01-18 00,22.93741,2.606429,106.33841,64.02439
2013-01-18 01,22.581793,1.5251442,94.51219,50.609756
2013-01-18 02,22.403982,2.606429,99.085365,48.780487
2013-01-18 03,21.692745,2.606429,87.39838,51.82927
2013-01-18 04,32.6376,1.5058328,82.8252,46.036587
2013-01-18 05,22.581793,2.606429,104.61167,47.865852
2013-01-18 06,23.470839,1.5101097,69.61382,53.963413
2013-01-18 07,32.53912,3.475239,96.544716,53.353657
2013-01-18 08,32.684883,1.4918203,105.39404,48.780487
2013-01-18 09,30.583216,1.5055909,82.8252,50.914635
2013-01-18 10,29.694168,4.561251,78.76016,43.756012
2013-01-18 11,28.449503,4.561251,105.45274,48.17073
2013-01-18 12,28.271692,1.5023277,88.414635,47.560974
2013-01-18 13,27.382647,4.3440485,81.30081,45.73171
2013-01-18 14,26.671408,4.3440485,87.9065,42.933685
2013-01-18 15,25.782362,4.3440485,95.52846,59.146343
2013-01-18 16,25.604551,4.3440485,105.917534,60.97561
2013-01-18 17,32.571823,1.5344461,119.41057,65.243904
2013-01-18 18,27.382647,1.5141951,164.63414,80.18293
2013-01-18 19,32.7547,4.561251,202.7439,82.92683
2013-01-18 20,32.60986,1.4611757,215.44716,89.939026
2013-01-18 21,27.382647,5.212858,198.67886,45.36438
2013-01-18 22,24.893314,4.7784534,181.40244,84.756096
2013-01-18 23,24.004267,4.1268463,139.73578,44.81162
2013-01-19 00,23.29303,3.475239,107.44977,78.35366
2013-01-19 01,22.759602,3.475239,105.24303,59.451218
2013-01-19 02,32.531013,3.475239,85.36585,51.219513
2013-01-19 03,22.403982,3.475239,77.743904,43.404003
2013-01-19 04,22.581793,3.475239,71.138214,51.52439
2013-01-19 05,22.93741,3.475239,67.07317,53.963413
2013-01-19 06,32.35091,1.6089221,62.5,57.621952
2013-01-19 07,23.826458,1.4858159,103.161674,44.187954
2013-01-19 08,25.96017,4.1268463,83.84146,47.560974
2013-01-19 09,28.982931,3.475239,106.73086,54.878048
2013-01-19 10,30.938831,1.5188546,125.0,53.658535
2013-01-19 11,33.25035,1.4936601,137.19513,56.40244
2013-01-19 12,27.738264,4.3440485,129.06505,53.963413
2013-01-19 13,18.669987,4.3440485,145.32521,50.0
2013-01-19 14,21.337126,1.4693857,155.48781,58.841465
2013-01-19 15,32.708538,4.3440485,167.68292,73.47561
2013-01-19 16,9.423898,4.3440485,107.34588,83.53658
2013-01-19 17,8.71266,4.3440485,172.2561,81.097565
2013-01-19 18,10.312944,4.3440485,215.95529,92.68293
2013-01-19 19,16.002846,4.3440485,230.18292,93.59756
2013-01-19 20,29.338549,4.7784534,210.87398,95.42683
2013-01-19 21,27.204836,4.3440485,109.04471,82.92683
2013-01-19 22,25.604551,4.3440485,169.20732,76.5244
2013-01-19 23,32.728966,4.3440485,161.58537,74.085365
2013-01-20 00,23.64865,3.475239,136.17886,76.82927
2013-01-20 01,32.18344,3.040834,106.70731,43.546535
2013-01-20 02,22.759602,3.475239,96.03658,57.012196
2013-01-20 03,22.226173,3.2580364,90.955284,55.487804
2013-01-20 04,22.048365,3.475239,78.25203,43.746017
2013-01-20 05,22.403982,3.2580364,77.23577,55.487804
2013-01-20 06,22.759602,3.040834,70.12195,42.781292
2013-01-20 07,22.93741,3.475239,103.92561,44.35844
2013-01-20 08,24.537695,3.475239,81.808945,48.17073
2013-01-20 09,28.627312,1.46781,104.86659,53.658535
2013-01-20 10,35.384068,1.4904792,105.02252,57.92683
2013-01-20 11,38.05121,1.4696008,169.20732,63.414635
2013-01-20 12,32.34426,1.5202749,106.08439,72.86585
2013-01-20 13,38.22902,4.3440485,153.96341,74.39024
2013-01-20 14,32.716927,4.1268463,126.52439,64.32927
2013-01-20 15,28.982931,4.7784534,140.75203,63.109756
2013-01-20 16,32.726254,4.561251,131.09756,67.68293
